id,station_id,time,PM25_Concentration,PM10_Concentration,NO2_Concentration,CO_Concentration,O3_Concentration,SO2_Concentration
3018322,yongledian_aq,2018-05-29 02:00:00,25.0,26.0,64.0,0.5,44.0,3.0
3018323,yufa_aq,2018-05-29 02:00:00,4.0,,6.0,0.3,99.0,2.0
3018324,liulihe_aq,2018-05-29 02:00:00,11.0,23.0,2.0,0.2,91.0,2.0
3018325,qianmen_aq,2018-05-29 02:00:00,10.0,18.0,32.0,0.3,,2.0
3018326,yongdingmennei_aq,2018-05-29 02:00:00,8.0,33.0,31.0,0.2,66.0,4.0
3018327,xizhimenbei_aq,2018-05-29 02:00:00,4.0,30.0,39.0,0.3,58.0,2.0
3018328,nansanhuan_aq,2018-05-29 02:00:00,,,64.0,0.5,41.0,3.0
3018329,dongsihuan_aq,2018-05-29 02:00:00,9.0,25.0,30.0,0.4,66.0,2.0
3018351,dongsi_aq,2018-05-29 03:00:00,8.0,39.0,10.0,0.1,89.0,2.0
3018352,tiantan_aq,2018-05-29 03:00:00,9.0,42.0,25.0,0.4,82.0,3.0
3018353,guanyuan_aq,2018-05-29 03:00:00,8.0,31.0,11.0,0.1,93.0,2.0
3018354,wanshouxigong_aq,2018-05-29 03:00:00,3.0,31.0,16.0,0.4,85.0,2.0
3018355,aotizhongxin_aq,2018-05-29 03:00:00,7.0,25.0,10.0,0.3,93.0,3.0
3018356,nongzhanguan_aq,2018-05-29 03:00:00,8.0,27.0,15.0,0.2,79.0,3.0
3018357,wanliu_aq,2018-05-29 03:00:00,10.0,15.0,15.0,0.3,104.0,2.0
3018358,beibuxinqu_aq,2018-05-29 03:00:00,7.0,32.0,7.0,0.3,88.0,2.0
3018359,zhiwuyuan_aq,2018-05-29 03:00:00,,,,,,
3018360,fengtaihuayuan_aq,2018-05-29 03:00:00,,37.0,14.0,0.2,91.0,2.0
3018361,yungang_aq,2018-05-29 03:00:00,4.0,25.0,,0.2,87.0,2.0
3018362,gucheng_aq,2018-05-29 03:00:00,15.0,37.0,8.0,0.2,95.0,2.0
3018363,fangshan_aq,2018-05-29 03:00:00,20.0,35.0,12.0,0.2,104.0,2.0
3018364,daxing_aq,2018-05-29 03:00:00,3.0,13.0,10.0,0.2,95.0,2.0
3018365,yizhuang_aq,2018-05-29 03:00:00,4.0,26.0,12.0,0.3,95.0,2.0
3018366,tongzhou_aq,2018-05-29 03:00:00,10.0,46.0,14.0,0.3,80.0,2.0
3018367,shunyi_aq,2018-05-29 03:00:00,9.0,55.0,14.0,0.2,91.0,2.0
3018368,pingchang_aq,2018-05-29 03:00:00,38.0,,11.0,0.2,82.0,2.0
3018369,mentougou_aq,2018-05-29 03:00:00,3.0,28.0,13.0,0.2,94.0,2.0
3018370,pinggu_aq,2018-05-29 03:00:00,5.0,,6.0,0.2,105.0,2.0
3018371,huairou_aq,2018-05-29 03:00:00,,,8.0,0.3,82.0,2.0
3018372,miyun_aq,2018-05-29 03:00:00,3.0,6.0,9.0,0.2,95.0,2.0
3018373,yanqin_aq,2018-05-29 03:00:00,3.0,52.0,11.0,0.3,83.0,23.0
3018374,dingling_aq,2018-05-29 03:00:00,3.0,45.0,7.0,0.2,73.0,7.0
3018375,badaling_aq,2018-05-29 03:00:00,28.0,86.0,15.0,0.2,78.0,2.0
3018376,miyunshuiku_aq,2018-05-29 03:00:00,3.0,,5.0,0.2,94.0,2.0
3018377,donggaocun_aq,2018-05-29 03:00:00,32.0,,10.0,0.1,85.0,2.0
3018378,yongledian_aq,2018-05-29 03:00:00,4.0,,34.0,0.4,79.0,2.0
3018379,yufa_aq,2018-05-29 03:00:00,9.0,,3.0,0.3,114.0,2.0
3018380,liulihe_aq,2018-05-29 03:00:00,9.0,18.0,2.0,0.2,93.0,2.0
3018381,qianmen_aq,2018-05-29 03:00:00,16.0,29.0,22.0,0.3,,2.0
3018382,yongdingmennei_aq,2018-05-29 03:00:00,7.0,24.0,20.0,0.2,81.0,4.0
3018383,xizhimenbei_aq,2018-05-29 03:00:00,12.0,38.0,31.0,0.2,77.0,2.0
3018384,nansanhuan_aq,2018-05-29 03:00:00,,,43.0,0.5,65.0,2.0
3018385,dongsihuan_aq,2018-05-29 03:00:00,6.0,35.0,35.0,0.4,72.0,2.0
3018407,dongsi_aq,2018-05-29 04:00:00,5.0,29.0,10.0,0.1,101.0,2.0
3018408,tiantan_aq,2018-05-29 04:00:00,11.0,24.0,18.0,0.3,95.0,3.0
3018409,guanyuan_aq,2018-05-29 04:00:00,8.0,26.0,12.0,0.1,103.0,2.0
3018410,wanshouxigong_aq,2018-05-29 04:00:00,7.0,35.0,13.0,0.4,97.0,2.0
3018411,aotizhongxin_aq,2018-05-29 04:00:00,9.0,20.0,8.0,0.3,104.0,4.0
3018412,nongzhanguan_aq,2018-05-29 04:00:00,34.0,,9.0,0.1,93.0,3.0
3018413,wanliu_aq,2018-05-29 04:00:00,3.0,15.0,21.0,0.3,111.0,3.0
3018414,beibuxinqu_aq,2018-05-29 04:00:00,,32.0,8.0,0.3,93.0,3.0
3018415,zhiwuyuan_aq,2018-05-29 04:00:00,,,,,,
3018416,fengtaihuayuan_aq,2018-05-29 04:00:00,,30.0,15.0,0.2,104.0,2.0
3018417,yungang_aq,2018-05-29 04:00:00,9.0,25.0,,0.2,98.0,2.0
3018418,gucheng_aq,2018-05-29 04:00:00,15.0,16.0,10.0,0.3,111.0,2.0
3018419,fangshan_aq,2018-05-29 04:00:00,20.0,63.0,11.0,0.2,112.0,2.0
3018420,daxing_aq,2018-05-29 04:00:00,3.0,40.0,9.0,0.2,105.0,2.0
3018421,yizhuang_aq,2018-05-29 04:00:00,3.0,28.0,9.0,0.3,106.0,2.0
3018422,tongzhou_aq,2018-05-29 04:00:00,,18.0,7.0,0.2,102.0,2.0
3018423,shunyi_aq,2018-05-29 04:00:00,5.0,30.0,9.0,0.2,108.0,2.0
3018424,pingchang_aq,2018-05-29 04:00:00,26.0,38.0,11.0,0.2,92.0,2.0
3018425,mentougou_aq,2018-05-29 04:00:00,5.0,24.0,13.0,0.2,110.0,2.0
3018426,pinggu_aq,2018-05-29 04:00:00,3.0,8.0,5.0,0.1,111.0,2.0
3018427,huairou_aq,2018-05-29 04:00:00,5.0,16.0,5.0,0.3,93.0,2.0
3018428,miyun_aq,2018-05-29 04:00:00,3.0,6.0,12.0,0.2,102.0,2.0
3018429,yanqin_aq,2018-05-29 04:00:00,11.0,31.0,4.0,0.2,106.0,2.0
3018430,dingling_aq,2018-05-29 04:00:00,3.0,32.0,2.0,0.1,93.0,4.0
3018431,badaling_aq,2018-05-29 04:00:00,81.0,,7.0,0.1,90.0,2.0
3018432,miyunshuiku_aq,2018-05-29 04:00:00,5.0,6.0,3.0,0.2,104.0,2.0
3018433,donggaocun_aq,2018-05-29 04:00:00,13.0,,4.0,0.1,92.0,2.0
3018434,yongledian_aq,2018-05-29 04:00:00,13.0,18.0,16.0,0.3,107.0,2.0
3018435,yufa_aq,2018-05-29 04:00:00,11.0,17.0,2.0,0.3,126.0,2.0
3018436,liulihe_aq,2018-05-29 04:00:00,3.0,23.0,,0.2,97.0,2.0
3018437,qianmen_aq,2018-05-29 04:00:00,9.0,23.0,20.0,0.2,,2.0
3018438,yongdingmennei_aq,2018-05-29 04:00:00,7.0,31.0,19.0,0.2,92.0,5.0
3018439,xizhimenbei_aq,2018-05-29 04:00:00,13.0,32.0,31.0,0.3,82.0,2.0
3018440,nansanhuan_aq,2018-05-29 04:00:00,,,39.0,0.3,78.0,2.0
3018441,dongsihuan_aq,2018-05-29 04:00:00,,,32.0,0.4,82.0,
3018463,dongsi_aq,2018-05-29 05:00:00,7.0,40.0,11.0,0.1,106.0,2.0
3018464,tiantan_aq,2018-05-29 05:00:00,3.0,31.0,20.0,0.3,99.0,5.0
3018465,guanyuan_aq,2018-05-29 05:00:00,10.0,41.0,12.0,0.1,111.0,3.0
3018466,wanshouxigong_aq,2018-05-29 05:00:00,8.0,68.0,13.0,0.4,103.0,3.0
3018467,aotizhongxin_aq,2018-05-29 05:00:00,12.0,33.0,10.0,0.3,106.0,4.0
3018468,nongzhanguan_aq,2018-05-29 05:00:00,10.0,29.0,10.0,0.2,95.0,5.0
3018469,wanliu_aq,2018-05-29 05:00:00,3.0,24.0,23.0,0.3,122.0,5.0
3018470,beibuxinqu_aq,2018-05-29 05:00:00,,6.0,8.0,0.3,103.0,3.0
3018471,zhiwuyuan_aq,2018-05-29 05:00:00,,,,,,
3018472,fengtaihuayuan_aq,2018-05-29 05:00:00,8.0,40.0,13.0,0.2,116.0,2.0
3018473,yungang_aq,2018-05-29 05:00:00,7.0,20.0,,0.2,107.0,2.0
3018474,gucheng_aq,2018-05-29 05:00:00,16.0,27.0,10.0,0.3,116.0,3.0
3018475,fangshan_aq,2018-05-29 05:00:00,13.0,31.0,12.0,0.2,127.0,2.0
3018476,daxing_aq,2018-05-29 05:00:00,3.0,31.0,8.0,0.2,123.0,2.0
3018477,yizhuang_aq,2018-05-29 05:00:00,7.0,24.0,10.0,0.2,118.0,2.0
3018478,tongzhou_aq,2018-05-29 05:00:00,,6.0,5.0,0.2,111.0,2.0
3018479,shunyi_aq,2018-05-29 05:00:00,16.0,,7.0,0.2,119.0,2.0
3018480,pingchang_aq,2018-05-29 05:00:00,33.0,,9.0,0.1,107.0,2.0
3018481,mentougou_aq,2018-05-29 05:00:00,4.0,33.0,13.0,0.2,117.0,3.0
3018482,pinggu_aq,2018-05-29 05:00:00,3.0,,5.0,0.1,117.0,2.0
3018483,huairou_aq,2018-05-29 05:00:00,3.0,11.0,,0.3,97.0,2.0
3018484,miyun_aq,2018-05-29 05:00:00,3.0,6.0,11.0,0.2,114.0,2.0
3018485,yanqin_aq,2018-05-29 05:00:00,3.0,7.0,2.0,0.2,114.0,2.0
3018486,dingling_aq,2018-05-29 05:00:00,3.0,6.0,2.0,0.1,101.0,
3018487,badaling_aq,2018-05-29 05:00:00,34.0,,5.0,0.1,101.0,2.0
3018488,miyunshuiku_aq,2018-05-29 05:00:00,12.0,,3.0,0.2,111.0,2.0
3018489,donggaocun_aq,2018-05-29 05:00:00,12.0,13.0,2.0,0.1,96.0,2.0
3018490,yongledian_aq,2018-05-29 05:00:00,10.0,21.0,12.0,0.3,121.0,2.0
3018491,yufa_aq,2018-05-29 05:00:00,5.0,22.0,2.0,0.3,129.0,2.0
3018492,liulihe_aq,2018-05-29 05:00:00,5.0,37.0,2.0,0.2,110.0,2.0
3018493,qianmen_aq,2018-05-29 05:00:00,11.0,35.0,21.0,0.3,99.0,2.0
3018494,yongdingmennei_aq,2018-05-29 05:00:00,8.0,33.0,15.0,0.2,101.0,6.0
3018495,xizhimenbei_aq,2018-05-29 05:00:00,9.0,38.0,30.0,0.4,88.0,3.0
3018496,nansanhuan_aq,2018-05-29 05:00:00,,40.0,44.0,0.4,82.0,2.0
3018497,dongsihuan_aq,2018-05-29 05:00:00,84.0,,25.0,0.4,281.0,4.0
3018519,dongsi_aq,2018-05-29 06:00:00,6.0,44.0,10.0,0.1,120.0,2.0
3018520,tiantan_aq,2018-05-29 06:00:00,10.0,31.0,18.0,0.3,111.0,4.0
3018521,guanyuan_aq,2018-05-29 06:00:00,7.0,41.0,12.0,0.1,122.0,2.0
3018522,wanshouxigong_aq,2018-05-29 06:00:00,6.0,57.0,12.0,0.4,113.0,3.0
3018523,aotizhongxin_aq,2018-05-29 06:00:00,10.0,32.0,9.0,0.3,122.0,4.0
3018524,nongzhanguan_aq,2018-05-29 06:00:00,10.0,36.0,10.0,0.2,107.0,5.0
3018525,wanliu_aq,2018-05-29 06:00:00,3.0,23.0,18.0,0.2,136.0,3.0
3018526,beibuxinqu_aq,2018-05-29 06:00:00,6.0,28.0,6.0,0.2,109.0,2.0
3018527,zhiwuyuan_aq,2018-05-29 06:00:00,,,,,,
3018528,fengtaihuayuan_aq,2018-05-29 06:00:00,27.0,,12.0,0.2,124.0,2.0
3018529,yungang_aq,2018-05-29 06:00:00,9.0,25.0,,0.2,104.0,2.0
3018530,gucheng_aq,2018-05-29 06:00:00,14.0,18.0,11.0,0.3,124.0,2.0
3018531,fangshan_aq,2018-05-29 06:00:00,11.0,32.0,12.0,0.2,138.0,2.0
3018532,daxing_aq,2018-05-29 06:00:00,4.0,43.0,8.0,0.2,132.0,2.0
3018533,yizhuang_aq,2018-05-29 06:00:00,5.0,26.0,11.0,0.2,127.0,2.0
3018534,tongzhou_aq,2018-05-29 06:00:00,6.0,15.0,6.0,0.2,115.0,2.0
3018535,shunyi_aq,2018-05-29 06:00:00,4.0,,7.0,0.2,120.0,2.0
3018536,pingchang_aq,2018-05-29 06:00:00,24.0,,10.0,0.1,111.0,2.0
3018537,mentougou_aq,2018-05-29 06:00:00,8.0,29.0,12.0,0.2,125.0,2.0
3018538,pinggu_aq,2018-05-29 06:00:00,8.0,,5.0,0.1,124.0,2.0
3018539,huairou_aq,2018-05-29 06:00:00,3.0,7.0,4.0,,,2.0
3018540,miyun_aq,2018-05-29 06:00:00,3.0,,13.0,0.2,125.0,2.0
3018541,yanqin_aq,2018-05-29 06:00:00,5.0,,2.0,0.2,117.0,2.0
3018542,dingling_aq,2018-05-29 06:00:00,3.0,6.0,,,108.0,5.0
3018543,badaling_aq,2018-05-29 06:00:00,20.0,,6.0,0.1,102.0,2.0
3018544,miyunshuiku_aq,2018-05-29 06:00:00,22.0,,3.0,0.2,124.0,2.0
3018545,donggaocun_aq,2018-05-29 06:00:00,46.0,,3.0,0.1,101.0,2.0
3018546,yongledian_aq,2018-05-29 06:00:00,10.0,19.0,13.0,0.3,130.0,3.0
3018547,yufa_aq,2018-05-29 06:00:00,4.0,6.0,2.0,0.3,130.0,2.0
3018548,liulihe_aq,2018-05-29 06:00:00,3.0,31.0,2.0,0.2,121.0,2.0
3018549,qianmen_aq,2018-05-29 06:00:00,10.0,36.0,19.0,0.3,114.0,2.0
3018550,yongdingmennei_aq,2018-05-29 06:00:00,7.0,37.0,16.0,0.2,110.0,6.0
3018551,xizhimenbei_aq,2018-05-29 06:00:00,13.0,37.0,36.0,0.3,100.0,3.0
3018552,nansanhuan_aq,2018-05-29 06:00:00,,42.0,53.0,0.4,84.0,3.0
3018553,dongsihuan_aq,2018-05-29 06:00:00,46.0,,31.0,0.4,99.0,6.0

